Question,Context
Jaime Maestro,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
U.S.,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Spain,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
China,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Silent Voice,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Naoko Yamada,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Japan,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Begonia,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Xuan Liang,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Chun Zhang,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
China,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Ethel,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Ernest,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Roger Mainwood,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Sunao Katabuchi,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Japan,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Vincent,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Dorota Kobiela,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Hugh Welchman,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Poland,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Wall,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
